CITY,COMPANYNAME,COSTCENTER,COUNTRY,DEPARTMENTNAME,DONOTDISTURBDELEGATE,EMPLOYEETYPE,EMPLOYEEID,JOBCODE,JOB_ID,LOCATION,LOCATIONDESC,LOCATIONNUMBER,MANAGER,OWNER,OWNERONTERMINATE,REGION,REGIONCODE,STATUSKEY,TITLE,USERSOURCE,VENDORMANAGER,ENTITLEMENTVALUEKEY,Result
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,857633,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,837511,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,857648,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,837513,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,834604,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,837514,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,837498,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,837518,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,837499,ACCESS
,,98,,77de68daecd823babbb58edb1c8e14d7106e83bb,,,,204,3,887309d048beef83ad3eabf2a79a64a389ab1c9f,,,16,f1abd670358e036c31296e66b3b66c382ac00812,d7c1f0dd609c0024d00c7eb35743bcc476459876,,14,1,1b6453892473a467d07372d45eb05abc2031647a,FILE-MANUAL,,837519,NO ACCESS
